slug,protocol,title,description,markdown_url,author,author_url,tags,difficulty_level
create-a-donation-dapp-on-polygon,polygon,Create a donation dApp on Polygon,Learn how to create a donation dApp on Polygon to award your favorite content creator with MATIC tokens,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/build-a-donation-dapp-on-polygon-to-award-your-favourite-content-creator.md,Viral Sangani,https://github.com/viral-sangani,JS/TS;Solidity;Javascript;Solidity,Intermediate
build-a-poe-decentralized-app,polkadot,Build a PoE Decentralized App,"Learn to create a custom ""Proof of Existence"" dApp using the Substrate blockchain development framework and FRAME runtime libraries",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/build-a-poe-decentralized-app.md,,,JS/TS;Rust;React;NodeJS,Intermediate
explaining-solana-for-beginners,solana,Solana's Innovations - a jargon-free explanation,Learn about Solana with easy language aimed at beginners,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/solana-jargon-free.md,Brandon Goss,https://github.com/brandongoss,"",
substrate-kitties-dispatchables-and-events,polkadot,Substrate Kitties - Dispatchables & Events,Learn how to use storage with your Substrate Pallet,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/substrate-kitties/dispatchables-and-events.md,Kresna Sucandra,https://github.com/SHA888,Rust;Rust,Intermediate
transferring-tokens-with-polygon-pos-bridge,polygon,Transferring tokens with the Polygon PoS bridge,Learn how to move tokens between Polygon and Ethereum using the Proof of Stake bridge.,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/erc20-pos-bridge-sdk.md,Masoud Ghorbanzadeh,https://github.com/mlibre,JS/TS;Smart contracts;Javascript;Metamask,Beginner
querying-the-terra-blockchain,terra,Querying the Terra blockchain,Learn how to pull information from the Terra Blockchain using DataHub,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/terra/setting-up-your-first-wallet.md,,,JS/TS;NodeJS;Javascript,Beginner
create-a-lending-marketplace-dapp-on-polygon,polygon,Create a Lending Marketplace dApp on Polygon,Make your own lending marketplace on Polygon,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/create-a-lending-marketplace-dapp-on-polygon.md,Devendra Yadav,https://github.com/Devilla,JS/TS;Solidity;Smart contracts;Solidity;Typescript,Advanced
celo-ubeswap-tutorial,celo,How to use Ubeswap DEX on Celo,This tutorial is a part of DeFi series where people can learn how to participate in DeFi on the Celo Blockchain.,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/network-documentation/celo/tutorial/celo-ubeswap-tutorial.md,Deepanshu Hooda,https://github.com/gitofdeepanshu,"",Beginner
mint-your-own-fungible-token-on-tezos,tezos,Mint your own Fungible Token,Learn how to create your own fungible tokens on Tezos using SmartPy,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/tezos/tezos-mint-fungible-tokens.md,Priyanshu Dangi,https://github.com/PriyanshuDangi,Python;Smart contracts,Intermediate
solana-token-streaming-protocol,solana,Build a token streaming protocol,Learn how to make your own token streaming protocol on Solana,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/solana-streaming-protocol.md,Sushant Chandla,https://github.com/SushantChandla,Rust;NodeJS;Rust,Intermediate
create-an-auction-with-bidding-on-avalanche-using-react,avalanche,Create an Auction with Bidding on Avalanche using ReactJS,Learn how to make an Auction smart contract on Avalanche,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/create-an-auction-bidding-on-avalanche-using-reactjs.md,Naman Gera,https://github.com/namannimmo10,Solidity;React;Truffle;Solidity,Intermediate
the-journey-of-a-subgraph-query,thegraph,The Journey of a Subgraph Query,Learn about how subgraph queries are performed and how they travel through the Graph Protocol,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/thegraph/journey-subgraph-query.md,Sudeep Biswas,https://github.com/sudeepb02,Graphql;Smart contracts;GraphQL;Javascript,Beginner
create-a-fullstack-mail-dapp-on-solana,solana,Create a fullstack mail dApp on Solana,Learn how to build a decentralized mail app on Solana using Rust and React,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/solana-mail.md,Segun Ogundipe,https://github.com/Segun-Ogundipe,Rust;React;Rust,Advanced
moola-market,celo,How to use Moolaâ€™s money market,This tutorial is a part of DeFi series where people can learn how to participate in DeFi on the Celo Blockchain.,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/moola-market.md,Deepanshu Hooda,https://github.com/gitofdeepanshu,"",Beginner
sol-mint-token,solana,Create a token on Solana,Create a token on the Solana blockchain with no coding needed,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/sol-mint-token.md,Jacob Makarsky,https://github.com/jacobmakarsky,Rust;Rust;CLI,Intermediate
substrate-kitties-interacting-functions,polkadot,Substrate Kitties - Interacting with your Kitties,Learn how to add interactivity to your Substrate Kitties,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/substrate-kitties/interacting-function.md,Kresna Sucandra,https://github.com/SHA888,Rust;Rust,Intermediate
query-ethereum-data-with-the-graph,thegraph,Query Ethereum data with The Graph,Learn how to create a subgraph from a deployed smart contract on Ethereum,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/thegraph/query-ethereum-data-with-the-graph.md,Robin Thomas,https://github.com/robin-thomas,Graphql;GraphQL,Beginner
chakra-ui-with-solana-dapps,solana,Making a front-end for your Solana dApp with Chakra UI,Create beautiful front-ends for Solana dApps using the Chakra UI library,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/sol-chakra.md,Kanav Gupta,https://github.com/kanav99,JS/TS;Rust;Javascript;Rust,Intermediate
explaining-polygon-and-blockchains,polygon,Explaining Polygon and Blockchains,Learning about Polygon with Pizza is fun,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/explaining-polygon-and-blockchain.md,Raj Ranjan,https://github.com/rajranjan0608,"",Beginner
create-nft-smart-contract-with-hardhat,polygon,Create an NFT smart contract with HardHat,Learn how to create your own NFT smart contract using HardHat,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/NFT-Tutorial-Using-hardhat.md,Bhaskar Dutta,https://github.com/BhaskarDutta2209,JS/TS;Solidity;Solidity;Hardhat,Intermediate
create-an-nft-marketplace-on-tezos,tezos,Create an NFT marketplace on Tezos,Learn how to create your own NFT marketplace on Tezos,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/tezos/tezos-nft-marketplace.md,Nishant Chandla,https://github.com/NishantChandla,Python;Smart contracts;IPFS,Intermediate
substrate-kitties-create-kitties,polkadot,Substrate Kitties - Create Kitties,Learn how to add uniqueness to your Substrate Kitties,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/substrate-kitties/create-kitties.md,Kresna Sucandra,https://github.com/SHA888,Rust;Rust,Intermediate
deploy-a-subgraph-with-hardhat,thegraph,Deploy a subgraph with HardHat,Learn how to deploy a subgraph for a smart contract using HardHat.,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/thegraph/deploy-subgraph-with-hardhat.md,Robin Thomas,https://github.com/robin-thomas,Graphql;Solidity;GraphQL;Solidity,Beginner
create-a-chat-application-using-solidity-and-react,avalanche,Create a chat dApp on Avalanche using Solidity and ReactJS,Learn how to deploy a distributed chat application on Avalanche using Solidity and the React framework,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/create-a-chat-application-using-solidity-and-react.md,Nimish Agrawal & Sayan Kar,https://github.com/realnimish,JS/TS;Solidity;React;NodeJS;Solidity;Remix,Beginner
create-mint-transfer-nft,avalanche,"Create, Mint and Transfer NFTs with the Avalanche Wallet","Learn how to create, mint, and transfer NFTs on Avalanche.",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/create-mint-transfer-nft.md,Devendra Yadav,https://github.com/devilla,Smart contracts,Beginner
creating-subgraphs-for-multiple-smart-contracts,thegraph,Creating subgraphs for multiple smart contracts,"Learn how to build a subgraph for a complex dApp that uses multiple smart contracts, like Uniswap",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/thegraph/multiple_smartcontracts_subgraph.md,Mohit Kumar,https://github.com/MohitKumar1991,AssemblyScript;Graphql;AssemblyScript;GraphQL,Intermediate
deploy-pangolin-to-local-testnet,avalanche,Deploy Pangolin and a token pair to a local testnet ,Learn about token pairs and the Pangolin Decentralized Exchange,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/deploy-pangolin-to-local-testnet-with-token-pair.md,Cinque McFarlane-Blake,https://github.com/cinquemb,Solidity;Smart contracts;Javascript;Solidity,Beginner
using-hardhat-with-the-avalanche-c-chain,avalanche,Using Hardhat with the Avalanche C-Chain,Learn how to use Hardhat with the Avalanche C-Chain,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/using-hardhat-with-the-avalanche-c-chain.md,Kevin Madhu,https://github.com/breathebinary,Go;JS/TS;Solidity;NodeJS;Smart contracts;Avash;Waffle;Hardhat,Beginner
create-a-polymarket-clone-on-polygon,polygon,How to create a Polymarket clone on Polygon,Learn how to make your own Polymarket clone,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/how-to-create-polymarket-clone.md,Viral Sangani,https://github.com/viral-sangani,JS/TS;Truffle;IPFS;Typescript,Intermediate
making-evoting-dapp-on-avalanche-c-chain-using-truffle,avalanche,Make an e-Voting dApp on Avalanche Fuji testnet,Learn how to use Truffle with the Avalanche C-Chain,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/making-evoting-dapp-on-avalanche-c-chain-using-truffle.md,Raj Ranjan,https://github.com/rajranjan0608,JS/TS;Solidity;NodeJS;Truffle;Solidity;Metamask,Beginner
create-a-new-virtual-machine,avalanche,Create a New Virtual Machine,Learn how to create a new virtual machine on Avalanche,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/create-a-new-virtual-machine.md,,,Go;CLI,Beginner
implement-social-recovery-on-polkadot,polkadot,Implement Social Recovery on Polkadot,In this tutorial we will cover how to set up and utilize social recovery for a Polkadot proxy account,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/implement-social-recovery-on-polkadot.md,Rogan X,https://github.com/pyr0gan,JS/TS;NodeJS,Beginner
advanced-evoting-avalanche-reactjs,avalanche,Create a Voting dApp on Avalanche using ReactJS,Learn how to create an Avalanche based dApp with a ReactJS frontend,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/advanced-evoting-avalanche-reactjs.md,Raj Ranjan,https://github.com/rajranjan0608,JS/TS;Solidity;React;NodeJS;Truffle;Solidity,Intermediate
create-vault-smart-contract,celo,Create Vault Smart Contract,"Learn how to create, deploy, and interact with Vault Smart Contract on the Celo Ecosystem",https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/create-vault-smart-contract.md,Team Celo Helpi,https://github.com/helpicelo,JS/TS;Solidity;React;NodeJS;Smart contracts;Truffle,Advanced
using-the-smartpy-ide-to-deploy-tezos-smart-contracts,tezos,Using the SmartPy IDE to write and deploy smart contracts on Tezos,"Learn how to write, deploy & interact with a smart contract on Tezos, using SmartPy.",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/tezos/tezos-smartpy-tutorial.md,Udit Kapoor,https://github.com/Udit-Kapoor,Python;Smart contracts,Beginner
create-a-todo-dapp-with-flutter,polygon,Create a To-Do dApp with Flutter,Learn how to create a universal To-Do dApp with the Flutter framework and deploy it on Polygon.,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/flutter-starter-for-polygon-dapp.md,Viral Sangani,https://github.com/viral-sangani,JS/TS;Solidity;Truffle;Solidity,
write-a-pallet-in-its-own-crate,polkadot,Write a Pallet in its Own Crate,"Learn how to write a Substrate pallet that lives in its own crate, and include it in a node based on the substrate-node-template",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/write-a-pallet-in-its-own-crate.md,,,Rust;AssemblyScript,Intermediate
create-your-first-substrate-chain,polkadot,Create Your First Substrate Chain,Learn how to compile and launch the Substrate Developer Hub Node Template and interact with it using the Substrate Developer Hub Front-End Template.,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/create-your-first-substrate-chain.md,,,JS/TS;Rust;NodeJS,Intermediate
peer-to-peer-payment-on-polygon-part-1,polygon,"Create a Peer to Peer payment dApp, Part 1",Part one of a two-part tutorial that explains how to create a P2P payment dApp on Polygon,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/polygon-peer-to-peer-payment-dapp-part-1.md,Viral Sangani,https://github.com/viral-sangani,JS/TS;Javascript;Metamask;Next.js,Intermediate
add-viewing-keys-to-secret-contract,secret,Adding viewing keys to a secret contract,"Add Viewing Key code to the reminder secret contract that we built in the ""Developing your first secret contract"" tutorial.",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/secret/adding-viewing-keys-to-secret-contract.md,Ben Adams,https://github.com/darwinzer0,Rust;Smart contracts;Rust,Intermediate
distributed-file-manager-using-ipfs-celo-reactjs,celo,"Distributed File Manager (DFM) using Celo, IPFS and ReactJS",Learn how to make a Distributed File Manager using the IPFS protocol for storing files on the Celo network,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/distributed-file-manager-using-ipfs-celo-reactjs.md,Raj Ranjan,https://github.com/rajranjan0608,JS/TS;Solidity;React;NodeJS;Smart contracts;Truffle;Solidity;IPFS,Intermediate
build-a-social-media-dapp-and-deploy-it-on-polygon,polygon,Build a Social Media dApp & Deploy it on Polygon,Learn how to build a Social Media dApp like YouTube & how to deploy it on the Polygon mumbai testnet,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/Build-a-Social-Media-DApp-and-Deploy-it-on-Polygon.md,Akhilesh Thite,https://github.com/AkhileshThite,JS/TS;Solidity;React;Smart contracts;Solidity;IPFS,Intermediate
peer-to-peer-payment-on-polygon-part-2,polygon,"Create a Peer to Peer payment dApp, Part 2",Part two of a two-part tutorial that explains how to create a P2P payment dApp on Polygon,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/polygon-peer-to-peer-payment-dapp-part-2.md,Viral Sangani,https://github.com/viral-sangani,JS/TS;Javascript;Next.js,Intermediate
pay-to-play-gaming-on-solana,solana,Build a pay-to-play gaming platform on Solana,Discover how to make your own pay-to-play game platform on Solana,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/gaming-on-solana.md,Sandeep Ghosh,https://github.com/blocksan,JS/TS;Javascript;IPFS;Arweave,Intermediate
create-a-dex-on-tezos,tezos,Create a DEX on Tezos,Learn how to make your own Decentralized Exchange,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/tezos/tezos-dex-tutorial.md,Vivek Kumar,https://github.com/vivekascoder,Python;React;Smart contracts,Intermediate
creating-a-variable-cap-asset,avalanche,Creating A Variable-Cap Asset,Learn how to create a variable-cap asset on Avalanche,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/creating-a-variable-cap-asset.md,,,Javascript;CLI,Intermediate
deploying-and-debugging-smart-contracts-on-polygon,polygon,Deploying and Debugging Smart Contracts on Polygon,Learn how to deploy smart contracts to the Polygon Mumbai testnet and how to debug them,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/Deploying-and-Debugging-the-Smart-Contracts-on-Polygon.md,Akhilesh Thite,https://github.com/AkhileshThite,Solidity;Smart contracts;Truffle;Solidity,Beginner
how-to-successfully-connect-to-a-celo-wallet-with-a-react-native-dapp,celo,How to successfully connect to a Celo Wallet with a React Native DApp,Learn how to successfully set up a Celo Wallet with a React Native DApp using Redux,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/how-to-successfully-connect-to-a-celo-wallet-with-a-react-native-dapp.md,Segun Ogundipe & Emmanuel Oaikhenan,https://github.com/emmaodia,JS/TS;React Native;NodeJS,Intermediate
create-a-decentralized-exchange-on-avalanche,avalanche,Create a Decentralized Exchange (DEX) on Avalanche,Learn how to create a decentralized exchange on Avalanche.,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/create-a-dex-with-avalanche.md,Devendra Yadav,https://github.com/Devilla,JS/TS;Solidity;React;Smart contracts;Solidity,Intermediate
deploy-a-subgraph-for-polygon,thegraph,Deploy a subgraph for a Polygon smart contract,"Learn how to deploy a Solidity smart contract to Polygon Mumbai testnet using HardHat, then create and deploy its subgraph to the Subgraph Studio",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/thegraph/deploy-subgraph-using-polygon.md,Robin Thomas,https://github.com/robin-thomas,JS/TS;Solidity;Javascript;Solidity;Hardhat,Beginner
funding-dao-polygon,polygon,Build a Funding DAO on Polygon,"Create a Funding DAO, where people can use MATIC tokens to become either a Member or Stakeholder in the DAO and fund proposals they vote on.",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/build-a-funding-dao-on-polygon.md,Viral Sangani,https://github.com/viral-sangani,JS/TS;Truffle;Solidity;Arweave;Typescript,Intermediate
build-a-scavenger-game,cosmos,Build a scavenger game,Learn how to build a scavenger game using the Cosmos SDK,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/cosmos/build-a-scavenger-game-1.md,,,Go;CLI,Advanced
mint-nfts-on-tezos,tezos,Mint NFTs on Tezos ,Learn how to mint NFTs on Tezos using SmartPy & BetterCall.dev,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/tezos/tezos-mint-nfts.md,Priyanshu Dangi ,https://github.com/PriyanshuDangi,Python;Smart contracts,Intermediate
celo-hardhat-deploy-and-nft-app,celo,How to create a ERC1155 NFT in Celo Network with Hardhat,Learn how to write a smart contract using the Solidity language and a contract from the Openzeppelin library for ERC1155 tokens,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/celo-hardhat-deploy-and-nft-app.md,Lucas Espinosa,https://github.com/lucasespinosa28,JS/TS;Solidity;React;NodeJS;Smart contracts;Javascript;Hardhat,Intermediate
celo-subgraphs,celo,Create subgraphs for Celo smart contracts,Learn how to integrate The Graph with CELO,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/subgraphs-on-celo.md,Shardul Aeer,https://github.com/secretshardul,Graphql;Solidity;NodeJS;Smart contracts;Truffle;Solidity,Intermediate
build-polkadot-amm-using-ink,polkadot,Build an AMM on Polkadot using Ink!,Learn how to build an Automated Market Maker on Polkadot using the ink! eDSL,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/create-an-amm-on-polkadot-using-ink.md,Sayan Kar & Nimish Agrawal,https://github.com/SayanKar,Rust;Rust,Intermediate
build-a-dao-on-celo,celo,Build a Decentralized Autonomous Organization (DAO) on Celo,Build a functioning DAO by writing the Solidity smart contract and building a React Native dApp,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/build-a-dao-on-celo.md,Segun Ogundipe & Emmanuel Oaikhenan,https://github.com/emmaodia,JS/TS;Solidity;React Native;NodeJS;Truffle,Advanced
create-a-simple-blog-dapp-on-solana,solana,Create a simple blog dApp on Solana,Learn how to create a simple blog dApp on Solana using Rust and React,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/sol-blog-dapp.md,Kiran Bhalerao,https://github.com/kiran-bhalerao,JS/TS;Rust;React;Rust,Intermediate
introduction-to-dappkit,celo,Introduction to dApp kit,In this tutorial we are going to make counter dapp with expo (react native),https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/introduction-to-dappkit.md,Nikhil Bhintade,https://github.com/nikbhintade,JS/TS;React Native;NodeJS;Truffle,Intermediate
write-and-deploy-a-smart-contract-on-near,near,How to write and deploy a smart contract in Rust,"In this tutorial, we are going to write and test a smart contract using Rust",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/write-and-deploy-a-smart-contract-on-near.md,Nikhil Bhintade,https://github.com/nikbhintade,Rust;NodeJS;Smart contracts;AssemblyScript;CLI,Intermediate
uniswap-latest-pair,thegraph,Scan the latest pairs added on UniswapV3 using TheGraph,Scan the latest pairs added on UniswapV3 using TheGraph in Google Sheets,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/thegraph/uniswap_latestpairs.md,Eloise,https://eloise88.medium.com/,JS/TS;GraphQL;Javascript,Beginner
deploy-your-own-secret-nft,secret,Deploy your own secret NFT,This is the second part of a series about using snip721 tokens on the Secret network.,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/secret/deploy-your-own-secret-nft.md,Florian Uhde,https://github.com/floAr,JS/TS;Rust;NodeJS,Intermediate
stake-account-storage,near,Show me the Code: STAKE Account Storage NEP-145 Rust Implementation,STAKE Account Storage NEP-145 Rust Implementation,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/stake_project/6-stake-account-storage.md,Oysterpack,https://github.com/oysterpack,Rust;Smart contracts,Intermediate
polkadot-blockchain-terms,polkadot,Polkadot Blockchain Terms,Learn the basics of Polkadot blockchain,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/polkadot-blockchain-terms.md,Danny Salman,https://github.com/DannyS03,"",Beginner
near-cross-contract-calls,near,Near cross-contract calls,Learn how to write smart contracts that talk to each other,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/cross-contract-calls.md,,,JS/TS;Rust;NodeJS;Smart contracts;Javascript,Intermediate
celo-contract-from-ethereum,celo,How to customize an Ethereum smart contract for the Celo network,Learn how to convert & customize an existing Ethereum Smart Contract for Celo network,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/celo-contract-from-ethereum.md,Brittany Deventer,https://github.com/bdev07,JS/TS;Solidity;NodeJS;Smart contracts;Truffle,Intermediate
how-to-run-a-celo-full-node-in-a-virtual-machine,celo,Run a Celo full node in a Virtual Machine,Learn how to setup & run a Celo full node in a Virtual Machine,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/how-to-run-a-celo-full-node-in-a-virtual-machine.md,Aidan Dedecker,https://github.com/Aidandedecker,JS/TS;NodeJS,Intermediate
celo-testing-truffle,celo,Testing Celo Smart Contracts with Truffle,We will learn how to use Truffle in order to test smart contracts on Celo,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/celo-testing-truffle.md,Alex Reyes,https://github.com/alexreyes,JS/TS;Solidity;NodeJS;Smart contracts;Truffle;Javascript,Intermediate
build-a-nameservice-app,cosmos,Build a nameservice application,Learn how to build a nameservice application with the Cosmos SDK,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/cosmos/build-a-nameservice-app.md,,,Go;CLI,Advanced
local-avalanche-network-using-avash,avalanche,Setting up a local Avalanche network using Avash,Learn how to setup and run a local Avalanche network using Avash,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/local-avalanche-network-using-avash.md,Kevin Madhu,https://github.com/breathebinary,Go;JS/TS;Javascript;CLI;Avash,Beginner
celo-for-remix,celo,Deploy Celo Smart contracts with Remix IDE,Learn how to use Remix IDE for deploying Celo smart contracts,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/celo-for-remix.md,Deepanshu Hooda,https://github.com/gitofdeepanshu,Solidity;Smart contracts;Solidity;Metamask;Remix,Beginner
redeploy-ethereum-dapps-on-celo,celo,How to re-deploy your Ethereum DApp to Celo,Learn how to re-deploy Ethereum Dapps on the Celo network,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/redeploy-dapps-on-celo.md,Deepanshu Hooda,https://github.com/gitofdeepanshu,JS/TS;Truffle;Javascript;CLI,Beginner
parachain-lifecycle,polkadot,Parachain Lifecycle,"This guide will focus on the lifecycle of Polkadot's parachains, an integral part of the Polkadot ecosystem.",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/parachain-lifecycle.md,Danny Salman,https://github.com/DannyS03,"",Beginner
create-a-local-test-network,avalanche,Create a Local Test Network,Learn how to create a local test network on Avalanche,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/create-a-local-test-network.md,,,Go;CLI;Avash,Beginner
deploy-pangolin-to-your-local-testnet-and-create-token-pair,avalanche,Deploy Pangolin To Your Local Testnet And Create Token Pair,"We will learn how to deploy Pangolin, a DEX which lives on C-Chain, to your local Avalanche testnet.",https://raw.githubusercontent.com/figment-networks/datahub-learn/master/network-documentation/avalanche/tutorials/deploy-pangolin-to-your-local-testnet-and-create-token-pair.md, Cinque McFarlane-Blake.,https://github.com/cinquemb,Go;JS/TS;NodeJS,Beginner
transfer-avax-between-the-x-chain-and-c-chain,avalanche,Transfer AVAX Between the X-Chain and C-Chain,Learn how to transfer AVAX between chains,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/transfer-avax-between-the-x-chain-and-c-chain.md,,,JS/TS;Javascript;CLI,Beginner
