slug,protocol,title,description,markdown_url,author,author_url,tags,difficulty_level
create-a-new-blockchain,avalanche,Create a New Blockchain,Learn how to create a new Blockchain on Avalanche,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/create-a-new-blockchain.md,,,JS/TS;Javascript;CLI,Beginner
creating-a-fixed-cap-asset,avalanche,Creating A Fixed-Cap Asset,Learn how to create a fixed-cap asset on Avalanche,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/creating-a-fixed-cap-asset.md,,,JS/TS;Javascript;CLI,Intermediate
deploying-smart-contracts-on-celo-with-truffle,celo,Deploying smart contracts on Celo with Truffle,We will learn how to use Truffle and ContractKit to deploy smart contracts to Celo.,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/deploying-smart-contracts-on-celo-with-truffle.md,Alex Reyes,https://github.com/alexreyes,JS/TS;NodeJS;Smart contracts;Truffle,Beginner
using-truffle-with-the-avalanche-c-chain,avalanche,Using Truffle with the Avalanche C-Chain,Learn how to use Truffle with the C-Chain,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/using-truffle-with-the-avalanche-c-chain.md,,,JS/TS;NodeJS;Truffle;Avash,Beginner
query-nft-data-with-subgraphs,thegraph,Query NFT Data with OpenZeppelin Subgraphs,"Learn how to create, deploy and use a subgraph for an ERC-721 smart contract on Ethereum mainnet",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/thegraph/query-nft-data-with-openzeppelin-subgraphs.md,Robin Thomas,https://github.com/robin-thomas,Graphql;Smart contracts;GraphQL,Beginner
create-a-transaction-search-widget,cosmos,Create a transaction search widget,Learn how to create a simple transaction search widget using Figment's Transaction Search API and DataHub,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/cosmos/create-a-transaction-search-widget.md,,,JS/TS;Javascript,Intermediate
create-your-first-secret-nft,secret,Create your first secret NFT,This is the first part of a series about using snip721 tokens on the Secret network.,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/secret/create-your-first-secret-nft.md,Florian Uhde,https://github.com/floAr,JS/TS;NodeJS;Smart contracts,Intermediate
generative-nfts-on-solana-with-candy-machine-v2-and-hashlips,solana,Build unique generative NFTs on Solana with Candy Machine v2 and Hashlips Engine,Learn how to create a collection of unique NFTs on Solana,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/How-to-build-unique-generative-NFTs-on-Solana.md,Mahdi Mostafavi,https://github.com/mmostafavi,JS/TS;Javascript,Beginner
celo-erc20-token-on-remix,celo,How to mint your own fungible token on Celo,How to create fungible tokens on Celo using the Remix IDE,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/celo-erc20-token-on-remix.md,Deepanshu Hooda,https://github.com/gitofdeepanshu,Solidity;Solidity;Metamask;Remix,Beginner
connect-datahub-to-metamask,avalanche,Connect DataHub to Metamask,Learn how to leverage Avalanche DataHub for Metamask transactions,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/connect-datahub-to-metamask.md,,,"",Beginner
make-a-solana-explorer-clone-using-react,solana,Make a Solana Explorer clone using React,Learn how to build a clone of the Solana Explorer to display information about blocks and transactions using React,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/solana-explorer-tutorial.md,Giovanni Fu Lin,https://github.com/aeither,JS/TS;React;Javascript,Intermediate
delegate-and-unbond-tokens,secret,Delegate to a Validator & Unbond Tokens,Learn how to delegate and unbond tokens on Secret Network,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/secret/delegate-and-unbond-tokens.md,Minato Fund,https://github.com/minatofund,JS/TS;NodeJS,Intermediate
build-a-blog-dapp-using-anchor,solana,Build a blog dApp using the Anchor framework,Learn how to create and deploy a blogging dApp on Solana using the Anchor framework,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/sol-anchor-blog.md,Doug Anderson,https://github.com/DougAnderson444,Rust;Smart contracts;Rust,Advanced
avalanche-on-chain-nft-game,avalanche,How to create an on-chain NFT game,Discover how to create your own NFT game using Avalanche,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/how-to-create-on-chain-nft-game.md,Viral Sangani,https://github.com/viral-sangani,"",
create-a-subnet,avalanche,Create a Subnet,Learn how to create a Subnet on Avalanche,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/create-a-subnet.md,,,JS/TS;Javascript;CLI,Intermediate
transfer-avax-between-the-x-chain-and-p-chain,avalanche,Transfer AVAX between the X-Chain and P-Chain,Learn how to transfer AVAX between chains,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/transfer-avax-between-the-x-chain-and-p-chain.md,,,JS/TS;Javascript;CLI,Beginner
creating-an-nft-part-1,avalanche,Creating An NFT - Part 1,Learn how to create an NFT on Avalanche,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/creating-an-nft-part-1.md,,,Go;JS/TS;CLI,Intermediate
how-to-build-custom-pallets-with-substrate,polkadot,How to build Custom Pallets with Substrate,Learn how to build a custom pallet using the Substrate development framework,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/custom-pallet.md,Prasad Kumar,https://github.com/prasad-kumkar,Rust;Rust,Intermediate
add-a-pallet-to-your-runtime,polkadot,Add A Pallet To Your Runtime,Learn how to add a pallet to your runtime,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/add-a-pallet-to-your-runtime.md,,,Rust;CLI,Intermediate
create-nfts-with-the-avalanche-wallet,avalanche,Create NFTs with the Avalanche Wallet,Learn how to create NFTs with the Avalanche Wallet,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/avalanche/create-nfts-with-the-avalanche-wallet.md,,,Smart contracts,Beginner
create-a-blogging-dapp-on-polygon,polygon,Create a blogging dApp on Polygon,Learn how to create and deploy a blogging dApp on Polygon,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/polygon-miniposts-tutorial.md,Giovanni Fu Lin,https://github.com/aeither,JS/TS;Solidity;Javascript;Solidity,Intermediate
hello-contracts,celo,Deploy and Interact with Contracts (Remotely),Learn how to deploy your own smart contracts on the Celo network,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/hello-contracts.md,,,JS/TS;Solidity;NodeJS;Smart contracts;Truffle,Beginner
integrating-transaction-search-in-your-terra-wallet,terra,Create a transaction search widget,Learn how to create a simple transaction search widget using Figment's Transaction Search API and DataHub,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/terra/integrating-transaction-search-in-your-terra-wallet.md,,,JS/TS;Javascript,Intermediate
launch-a-full-stack-dapp-on-polygon,polygon,Build a decentralized AirBnB on Polygon (Matic),Learn to build a full-stack dApp deployed on Polygon (Matic) with Proof of Stake Security.,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/launch-a-full-stack-dapp.md,,,JS/TS;Solidity;NodeJS;Smart contracts;Solidity;Remix,Intermediate
hello-mobile-dapp,celo,Hello Mobile DApp,Learn how to create a simple mobile DApp using dAppKit and the React Native Expo framework,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/hello-mobile-dapp.md,,,Solidity;NodeJS;Smart contracts;Truffle;CLI,Beginner
deploy-a-smart-contract-on-avalanche-using-remix-and-metamask,avalanche,Deploy a Smart Contract on Avalanche using Remix and MetaMask,Learn how to deploy and test a smart contract on Avalanche using Remix and MetaMask,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/deploy-a-smart-contract-on-avalanche-using-remix-and-metamask.md,,,Solidity;Solidity;Metamask;Remix,Beginner
send-celo-and-cusd,celo,Send CELO & cUSD,Learn how to connect to the Celo test network and transfer tokens using ContractKit,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/hello-celo.md,,,JS/TS;NodeJS,Beginner
transfer-erc20-tokens-between-polygon-and-ethereum,polygon,Transfer ERC-20 tokens between Polygon & Ethereum,Learn how to bridge ERC-20 tokens between networks using the Polygon Proof of Stake bridge and SDK,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/erc20-pos-bridge-sdk.md,Masoud Ghorbanzadeh,https://github.com/mlibre,JS/TS;NodeJS;Javascript;Metamask,Beginner
create-a-blog-module,cosmos,Create a blog module using Cosmos SDK,Learn how to create a simple blog app using the Cosmos SDK,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/cosmos/create-a-blog-app.md,,,Go;JS/TS;CLI,Intermediate
add-the-contracts-pallets-to-a-runtime,polkadot,Add the Contracts Pallets to a Runtime,Learn how to add a contract pallet to a runtime,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/add-the-contracts-pallets-to-a-runtime.md,,,Rust;Smart contracts,Beginner
build-a-polling-app,cosmos,Build a polling app,Learn how to build a polling app using the Cosmos SDK,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/cosmos/build-a-polling-app.md,,,Go;CLI,Intermediate
how-to-experiment-with-election-phragmen-pallet,polkadot,How to experiment with Election Phragmen pallet,Learn how to make use of the Election Phragmen pallet,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/how-to-experiment-with-election-phragmen-pallet.md,Kelvin Welter,https://github.com/kelvinwelter,Rust;Rust,
creating-a-secret-contract-from-scratch,secret,Developing your first secret contract,Learn the basics of creating a new secret contract from scratch.,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/secret/creating-a-secret-contract-from-scratch.md,Ben Adams,https://github.com/darwinzer0,Rust;Smart contracts;Rust,Intermediate
stake-fungible-token-testing,near,Test Now Or Forever Hold Your Peace,Complete guide to unit testing your NEAR Rust smart contracts,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/stake_project/4-stake-fungible-token-testing.md,Oysterpack,https://github.com/oysterpack,Rust;Smart contracts,Intermediate
oracle-contracts,tezos,Oracle Contracts,Learn how to get started with Oracle Contracts on Tezos,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/tezos/oracle-contracts.md,,,Python;Smart contracts,Intermediate
stake-pool-contract,near,It's Time to Put a STAKE Pool in the Ground!,OysterPack SMART STAKE Pool Contract - NEAR Staking Game Changer,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/stake_project/8-stake-pool-contract.md,Oysterpack,https://github.com/oysterpack,Rust;CLI,Intermediate
submit-terra-transactions,terra,Submit your first transactions,Learn how to write to the Terra blockchain using DataHub,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/terra/submit-terra-transactions.md,,,JS/TS;NodeJS;Javascript,Beginner
interacting-with-terra-endpoints,terra,Connecting to a Terra node with DataHub,Learn how to start using the Terra SDK with DataHub,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/terra/interacting-with-terra-endpoints.md,,,JS/TS;NodeJS;Javascript,Beginner
unit-testing-in-solidity,avalanche,Unit Testing in Solidity,How to write unit tests for Solidity smart contracts using Truffle's Assertions,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/unit-testing-in-solidity.md, Segun Ogundipe,https://github.com/Segun-Ogundipe/,Solidity;Truffle;Solidity,Intermediate
metamask-with-matic-js,polygon,Using Metamask with Matic.js,Learn how to transfer tokens between Ethereum and Polygon (Matic),https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/metamask-with-matic-js.md,,,JS/TS;NodeJS;Metamask,Beginner
stake-fungible-token,near,The New and Improved Fungible Token Standard (NEP-141) Has Arrived,Complete guide to NEAR's new fungible token standard,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/stake_project/2-fungible-token.md,Oysterpack,https://github.com/oysterpack,JS/TS;Rust;Smart contracts,Intermediate
build-a-registry-dapp-on-near,near,Build a Registry dApp on NEAR,Learn how to build a complete registry dApp on NEAR and deploy it easily using Netlify,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/near-registry-dapp.md,Viraj Anjan,https://github.com/viraja1,AssemblyScript;AssemblyScript,Beginner
stake-token-vision,near,It's Time to Put a STAKE in the Ground!,STAKE Token Vision - NEAR Game Changer,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/stake_project/7-stake-vision.md,Oysterpack,https://github.com/oysterpack,JS/TS;Rust;Smart contracts;Rust,Intermediate
creating-nfts,tezos,Creating NFTs,Learn how to create and interact a non-fungible token contract on Tezos,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/tezos/creating-nfts.md,,,JS/TS;NodeJS;CLI,Intermediate
stake-fungible-token-nep141,near,You Can Have Your STAKE and Trade It Too,STAKE Fungible Token NEP-141 Rust Implementation,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/stake_project/3-stake-fungible-token.md,Oysterpack,https://github.com/oysterpack,JS/TS;Rust;Smart contracts;Rust,Intermediate
stake-account-storage-nep-145,near,Account Storage Standard (NEP-145),Complete guide to NEAR's new account storage standard,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/stake_project/5-account-storage.md,Oysterpack,https://github.com/oysterpack,JS/TS;Rust;Smart contracts;Rust,Intermediate
token-contracts,tezos,Token Contracts,Learn how to deploy and interact with a digital asset on Tezos,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/network-documentation/tezos/tutorials/token-contracts.md,,,Python;Smart contracts;CLI,Intermediate
deploy-a-subgraph-for-an-avalanche-smart-contract,thegraph,Deploy a subgraph for an Avalanche smart contract,"Learn how to deploy a Solidity smart contract to the Avalanche Fuji testnet using HardHat, then create and deploy its subgraph to the Subgraph Studio",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/thegraph/deploy-subgraph-using-avalanche.md,Robin Thomas,https://github.com/robin-thomas,Graphql;JS/TS;GraphQL;Hardhat,Beginner
implement-multisig-accounts-on-polkadot,polkadot,Implement Multisig Accounts on Polkadot,In this tutorial we will cover the process of creating a multisig - an account which shares authority for transactions across multiple addresses.,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/implement-multisig-accounts-on-polkadot.md,Rogan X,https://github.com/pyr0gan,JS/TS;NodeJS,Beginner
create-a-blockchain-skill-verification-system,polygon,Create a blockchain-based Skill Verification system,Learn how to implement your own skill verification system with a Polygon smart contract,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/Blockchain-Based-Skill-Verification-System.md,Hardik Agarwal,https://github.com/Hardikag17,JS/TS;Solidity;React;Javascript,Intermediate
stake-pool-for-validators,near,OysterPack SMART STAKE Pool API Guide for Validators,OysterPack SMART STAKE Pool Contract API Guide - For Validators,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/stake_project/9-stake-pool-for-validators.md,Oysterpack,https://github.com/oysterpack,Rust;Rust;CLI,Intermediate
nft-marketplace-in-assemblyscript,near,Create an NFT marketplace,Create smart contracts for a simple NFT Marketplace,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/nft-marketplace-in-assemblyscript.md,Rahmat Albariqi,https://github.com/hdriqi,AssemblyScript;JS/TS;Rust;Smart contracts;AssemblyScript,Advanced
create-nft-with-royalties,avalanche,Create an NFT with royalties on Avalanche using Remix IDE,Learn how to create an NFT with royalties on Avalanche.,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/create-nft-with-royalties.md,Devendra Yadav,https://github.com/devilla,Solidity;Smart contracts;Solidity;Remix,Intermediate
write-nft-contracts-in-rust,near,Write an NFT contract & mint your NFT,Learn how to create and interact with NFTs on NEAR,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/write-nft-contracts-in-rust.md,Mykle Hansen,https://github.com/myklemykle,Rust;Smart contracts;Rust,Intermediate
create-a-solana-nft-marketplace-with-metaplex,solana,Create a Solana NFT marketplace and mint NFTs using Metaplex,Learn how to deploy a Metaplex marketplace that allows you to mint and sell your own NFTs on Solana,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/sol-mint-nft.md,Jacob Makarsky,https://github.com/jacobmakarsky,Arweave,Beginner
perform-forkless-upgrade-of-a-substrate-pallet,polkadot,Perform a forkless upgrade of a Substrate pallet,Learn how to upgrade a Substrate pallet without forking the blockchain,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/runtime-upgrade.md,Tomasz Waszczyk ,https://github.com/TomaszWaszczyk,Rust;Rust,Intermediate
celo-crowd-funding-project,celo,Celo Crowd Funding Project Tutorial,Learn how to create a Smart Contract which facilitates crowdfunding.,https://raw.githubusercontent.com/figment-networks/datahub-learn/master/celo/celo-crowd-funding-project.md,Alex Reyes & Neo Cho,https://github.com/alexreyes,JS/TS;Solidity;Smart contracts;Truffle;Solidity,Advanced
unit-testing-python-smart-contracts-for-tezos-on-smartpy,tezos,Unit testing Python smart contracts for Tezos using SmartPy,Learn how to unit test Python smart contracts for Tezos using the SmartPy suite of tools,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/tezos/tezos-testing-tutorial.md,Udit Kapoor,https://github.com/Udit-Kapoor,Python;Smart contracts,Beginner
build-an-nft-marketplace-using-hardhat,polygon,Build an NFT marketplace on Polygon using HardHat,Learn how to build an NFT marketplace smart contract and deploy it on Polygon using HardHat,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/Build-a-NFT-Marketplace-using-HardHat.md,Bhaskar Dutta,https://github.com/BhaskarDutta2209,JS/TS;Solidity;Smart contracts;Solidity;Hardhat,Intermediate
explore-an-existing-subgraph,thegraph,Explore an existing subgraph,Learn how to explore an existing subgraph and visualize its data using a pie chart,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/thegraph/explore-an-existing-subgraph.md,Minato Fund,https://github.com/minatofund,JS/TS;React;GraphQL;Javascript,Beginner
building-a-3d-art-gallery-using-unity3d-and-nethereum,polygon,Building a 3D art gallery using Unity3D and Nethereum,Learn how to make your own art gallery in Unity3D and interact with Polygon using C#,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/Build-a-3D-art-gallery-using-Unity3D.md,Bhaskar Dutta,https://github.com/BhaskarDutta2209,Smart contracts,Advanced
chainlink-vrf-on-polygon,polygon,Using the Chainlink Oracle for Randomness on Polygon,Learn how to use the Chainlink Oracle for verifiable randomness in your Polygon (Matic) smart contracts,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/chainlink-vrf-on-polygon-using-remix.md,You Song Hou,https://github.com/ysongh,JS/TS;Solidity;Javascript;Solidity;Remix,Beginner
build-a-crowdfunding-dapp-on-near,near,Build a Crowdfunding dApp on NEAR,Learn how to build a crowdfunding dApp on the NEAR blockchain with Rust and React,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/Build_a_Crowdfunding_dApp_on_NEAR.md,Uma Victor,https://github.com/uma-victor1,JS/TS;Rust;React;Rust,Intermediate
transfer-avax-from-c-chain-to-ethereum,avalanche,Transfer AVAX from C-Chain to an Ethereum address,Learn how to transfer AVAX tokens from C-Chain to an Ethereum address,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/avax-c-chain-to-eth-address-transfer-tutorial.md,Seongwoo Oh,https://github.com/blackwidoq,JS/TS;Javascript,Beginner
create-an-avalanche-crowdfunding-app,avalanche,Create a decentralized Kickstarter clone on Avalanche,Learn how to build a complete crowdfunding app using Avalanche,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/create-a-decentralized-kickstarter.md,Sayan Kar & Soumyajit Deb,https://github.com/hyp3r5pace,JS/TS;React;Javascript;Solidity,Beginner
build-petgram-an-nft-sharing-dapp,polygon,"How to build Petgram, an NFT sharing dApp","Learn how to build Petgram, an NFT sharing dApp similar to Instagram, then deploy it on Polygon",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/petgram.md,Luis Carbajal,https://github.com/electrone901,JS/TS;Solidity;Smart contracts;Truffle;Solidity,Intermediate
transfer-erc20-from-c-chain-to-ethereum,avalanche,Transfer ERC-20 tokens from C-Chain to an Ethereum address,Learn how to transfer ERC-20 tokens from C-Chain to Ethereum,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/erc20-token-transfer-to-eth-address.md,Seongwoo Oh,https://github.com/blackwidoq,JS/TS;Javascript,Beginner
build-a-quadratic-voting-dapp,polygon,Build a Quadratic Voting dApp,Learn how to make a quadratic voting app with collaboratively managed ranked lists,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/build-a-quadratic-voting-ranked-list-dapp.md,Giraffekey,https://github.com/giraffekey,Solidity;Truffle;Solidity;IPFS,Intermediate
write-your-first-terra-smart-contract,terra,Write your first Terra smart contract,Learn how to write a Terra smart contract,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/terra/write-your-first-terra-smart-contract.md,,,Rust;Smart contracts;AssemblyScript;Rust,Beginner
making-advanced-e-voting-dapp-avalanche-fuji-using-trufle,avalanche,Advanced e-Voting dApp on Avalanche,Learn to build an advanced e-Voting dApp on Avalanche Fuji testnet using Trufflesuite,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/making-advanced-e-voting-dapp-avalanche-fuji-using-trufle.md,Raj Ranjan,https://github.com/rajranjan0608,JS/TS;Solidity;NodeJS;Truffle;Solidity,Intermediate
explaining-solanas-innovations-without-technical-jargon,solana,Explaining Solana and its Innovations without technical jargon,Discover what makes Solana tick,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/explaining-solana-without-jargon.md,Mahdi Mostafavi,https://github.com/mmostafavi,"",Beginner
interacting-with-a-terra-smart-contract,terra,Interacting with a Terra smart contract,Learn how to interact with your own Terra smart contracts,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/terra/interacting-with-a-terra-smart-contract.md,,,AssemblyScript;AssemblyScript;CLI,Beginner
polygon-smart-contract-unit-testing-with-truffle,polygon,Polygon smart contract unit testing with Truffle,Learn how to deploy & unit test smart contracts written in Solidity using Truffle,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/Unit-Testing-on-Polygon.md,David Kim,https://github.com/PowerStream3604,Solidity;Truffle;Solidity;Metamask,Beginner
creating-your-first-terra-account-with-the-terra-sdk,terra,Creating your first Terra account with the Terra SDK,Learn how to create an account to start building on Terra,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/terra/creating-your-first-terra-account-with-the-terra-sdk.md,,,JS/TS;NodeJS;Javascript,Beginner
substrate-kitties-overview,polkadot,Substrate Kitties Overview,Learn how to make a dApp on Polkadot,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/substrate-kitties/overview.md,Kresna Sucandra,https://github.com/SHA888,Rust;Rust,Intermediate
unit-testing-subgraphs,thegraph,Writing Unit Tests for Subgraphs,Learn how to write unit tests for subgraphs with matchstick,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/thegraph/matchstick.md,Anton Yip,https://github.com/antonyip,JS/TS;GraphQL;Javascript,Beginner
create-an-amm-on-avalanche,avalanche,Create an Automated Market Maker (AMM) on Avalanche,"Learn how to build a basic AMM with Provide, Withdraw and Swap functions",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/avalanche/create-an-amm-on-avalanche.md,Sayan Kar,https://github.com/SayanKar,JS/TS;Solidity;React;Solidity,Intermediate
transfer-nfts-using-the-polygon-pos-bridge-and-sdk,polygon,Transfer NFTs (ERC721 & ERC1155) using the Polygon PoS Bridge & SDK ,Learn how to transfer tokens between Polygon and Ethereum using the Proof of Stake bridge and SDK,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polygon/erc1155-721-pos-bridge-sdk.md,Masoud Ghorbanzadeh,https://github.com/mlibre,JS/TS;Javascript,Beginner
build-a-crowdfunding-platform-on-solana,solana,Build a Crowdfunding platform on Solana,Learn how to create and deploy a Crowdfunding dApp on Solana,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/solana-crowdfund-tutorial.md,Sushant Chandla,https://github.com/SushantChandla,JS/TS;Rust;React;Javascript;Rust,Intermediate
substrate-kitties-setup,polkadot,Substrate Kitties - Basic Setup,Learn how to use the Substrate Node template,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/polkadot/substrate-kitties/basic-setup.md,Kresna Sucandra,https://github.com/SHA888,Rust;Rust,Intermediate
stake-monetize-near-smart-contracts,near,Show Me the Money: Learn How to Monetize NEAR Smart Contracts,"Learn how to design, build, and monetize smart contracts on the NEAR blockchain",https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/near/stake_project/1-stake-overview.md,Oysterpack,https://github.com/oysterpack,JS/TS;Rust;Smart contracts,Intermediate
explaining-solana-with-the-simpsons,solana,Explaining Solana with The Simpsons,Learn about the technical innovations of Solana with pop culture icons The Simpsons,https://raw.githubusercontent.com/figment-networks/learn-tutorials/master/solana/explaining-blockchain-and-solana-innovation-with-the-simpsons.md,Jonathan Ferreira,https://github.com/Jonathansoufer,"",Beginner
